category	cohort	sample	file_type	key	url	size_bytes	last_modified
sample	Mtb151	R24100	lr_100x_crai	samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.Subsample100x.cram.crai	1817	2026-07-23T17:01:50Z
sample	Mtb151	R24100	lr_100x_cram	samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.Subsample100x.cram	212146352	2026-07-23T17:01:47Z
sample	Mtb151	R24100	lr_full_depth_crai	samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.primary_only.cram.crai	2739	2026-07-20T14:09:29Z
sample	Mtb151	R24100	lr_full_depth_cram	samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24100/R24100.LR.AlnToH37Rv.primary_only.cram	319494169	2026-07-20T14:09:28Z
sample	Mtb151	R24100	asm_crai	samples/Mtb151/R24100/R24100.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24100/R24100.mm2.AsmToH37Rv.asm10.cram.crai	69	2026-07-20T14:09:32Z
sample	Mtb151	R24100	asm_cram	samples/Mtb151/R24100/R24100.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24100/R24100.mm2.AsmToH37Rv.asm10.cram	824879	2026-07-20T14:09:31Z
sample	Mtb151	R24120	lr_100x_crai	samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.Subsample100x.cram.crai	1662	2026-07-23T17:06:24Z
sample	Mtb151	R24120	lr_100x_cram	samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.Subsample100x.cram	200087420	2026-07-23T17:06:18Z
sample	Mtb151	R24120	lr_full_depth_crai	samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.primary_only.cram.crai	1739	2026-07-20T14:09:39Z
sample	Mtb151	R24120	lr_full_depth_cram	samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/R24120/R24120.LR.AlnToH37Rv.primary_only.cram	209965516	2026-07-20T14:09:38Z
